Instructor,Course,Quarter,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received
Politz Joseph Gibbs,CSE 11 - Accel. Intro to Programming (B),FA21,97.2%,99.1%,6.33,A- (3.85),B+ (3.52)
Miranda Gregory Joseph,CSE 11 - Accel. Intro to Programming (C),FA21,91.0%,96.6%,6.24,A- (3.77),B+ (3.34)
Powell Thomas Allan,CSE 110 - Software Engineering (A),FA21,79.0%,63.8%,9.76,B+ (3.61),A- (3.77)
Weibel Nadir,CSE 118 - Ubiquitous Computing (A),FA21,100.0%,100.0%,5.7,A (4.00),
Gillespie Gary N,CSE 12 - Basic Data Struct & OO Design (A),FA21,79.5%,64.5%,13.31,B (3.14),B- (2.79)
Cao Yingjun,CSE 12 - Basic Data Struct & OO Design (B),FA21,95.7%,94.0%,9.82,B+ (3.47),B (3.18)
Zhang Yiying,CSE 120 - Princ/Computer Operating Systm (A),FA21,83.7%,76.9%,10.42,B (3.27),B+ (3.63)
Porter George M,CSE 124 - Networked Services (A),FA21,91.7%,94.4%,9.58,B+ (3.32),B (3.08)
Stefan Deian,CSE 127 - Intro to Computer Security (A),FA21,84.8%,80.0%,9.86,B+ (3.37),B (3.21)
Polikarpova Nadezhda,CSE 130 - Progrmng Lang:Princpl&Paradigm (A),FA21,82.1%,95.5%,8.84,B+ (3.59),B+ (3.31)
Vianu Victor Dan,CSE 132A - Database System Principles (A),FA21,88.6%,92.9%,6.59,B+ (3.43),B (3.05)
Chin Bryan W.,CSE 140 - Component&Desgn Tech/Digtl Sys (A),FA21,84.3%,88.4%,8.15,B+ (3.35),B (3.11)
Orailoglu Alex,CSE 140 - Component&Desgn Tech/Digtl Sys (B),FA21,58.3%,41.7%,9.5,C+ (2.58),C+ (2.53)
Eldon John,CSE 140L - Digital Systems Laboratory (A),FA21,81.7%,83.9%,6.43,B+ (3.69),B+ (3.67)
Orailoglu Alex,CSE 140L - Digital Systems Laboratory (B),FA21,60.0%,30.0%,14.3,C+ (2.50),
Porter Leonard Emerson,CSE 142 - Comp Arch Software Perspective (A),FA21,72.9%,89.4%,8.34,B (3.19),B (3.24)
Porter Leonard Emerson,CSE 142 - Comp Arch Software Perspective (B),FA21,83.0%,94.3%,8.5,B (3.25),B (3.16)
Swanson Steven James,CSE 142L - Software Proj Comp Arch (A),FA21,63.1%,87.7%,10.84,B+ (3.38),B (3.29)
Swanson Steven James,CSE 142L - Software Proj Comp Arch (B),FA21,68.3%,84.1%,12.31,B+ (3.44),B+ (3.48)
Berg-Kirkpatrick Taylor D,CSE 151A - Intro to Machine Learning (A),FA21,95.7%,98.6%,8.61,B+ (3.64),B+ (3.52)
Su Hao,CSE 152A - Intro to Comp Vision I (A),FA21,96.6%,91.4%,6.33,A- (3.85),A- (3.80)
McAuley Julian John,CSE 158 - Recommender Sys&Web Mining (A),FA21,90.1%,93.3%,9.48,B+ (3.70),A- (3.75)
McAuley Julian John,CSE 158 - Recommender Sys&Web Mining (B),FA21,94.0%,94.0%,8.66,B+ (3.58),A- (3.75)
Gillespie Gary N,CSE 15L - Software Tools&Techniques Lab (A),FA21,86.9%,75.8%,5.46,A- (3.74),B+ (3.44)
Gillespie Gary N,CSE 15L - Software Tools&Techniques Lab (B),FA21,89.3%,74.7%,5.78,B+ (3.65),B+ (3.36)
Chern Albert Ren-Haur,CSE 167 - Computer Graphics (A),FA21,94.7%,95.6%,7.6,B+ (3.60),B+ (3.57)
Deutsch Alin Bernard,CSE 190 - Topics/Computer Sci & Engineer (B),FA21,100.0%,100.0%,3.75,A (4.00),
Vaccaro Kristen Marie,CSE 190 - Topics/Computer Sci & Engineer (C),FA21,66.7%,70.8%,5.83,A- (3.75),B+ (3.40)
Gao Sicun,CSE 191 - Semnr/Computer Sci & Engineer (A),FA21,100.0%,100.0%,0.5,,
Minnes Kemp Mor Mia,CSE 191 - Semnr/Computer Sci & Engineer (C),FA21,100.0%,100.0%,1.17,,
Alvarado Christine J.,CSE 193 - Introduction to CS Research (A),FA21,100.0%,100.0%,8.88,A (4.00),A- (3.74)
Minnes Kemp Mor Mia,CSE 20 - Discrete Mathematics (A),FA21,94.2%,96.8%,7.43,B+ (3.67),B (3.24)
Impagliazzo Russell,CSE 21 - Math/Algorithm&Systems Analys (A),FA21,79.4%,63.2%,8.5,B (3.30),B (3.06)
Jones Miles E,CSE 21 - Math/Algorithm&Systems Analys (B),FA21,72.1%,93.4%,9.25,B (3.26),B- (2.95)
Muller P Keith,CSE 30 - Computer Organiz&Systms Progrm (A),FA21,79.6%,85.2%,13.06,B (3.12),B- (2.85)
Muller P Keith,CSE 30 - Computer Organiz&Systms Progrm (B),FA21,86.1%,88.0%,12.39,B (3.21),B- (2.86)
Chin Bryan W.,CSE 30 - Computer Organiz&Systms Progrm (C),FA21,81.9%,91.4%,12.67,B (3.20),B- (2.84)
Moshiri Alexander Niema,CSE 87 - Freshman Seminar (A),FA21,100.0%,100.0%,1.1,A (4.00),
Howden William E.,CSE 87 - Freshman Seminar (B),FA21,80.0%,80.0%,1.3,,
Miranda Gregory Joseph,CSE 8A - Intro to Programming 1 (A),FA21,92.2%,95.5%,6.81,A- (3.71),B+ (3.44)
Miranda Gregory Joseph,CSE 8A - Intro to Programming 1 (B),FA21,95.9%,100.0%,5.54,A- (3.71),B+ (3.50)
Cao Yingjun,CSE 8A - Intro to Programming 1 (C),FA21,92.7%,93.5%,6.88,B+ (3.49),B (3.25)
Cao Yingjun,CSE 8A - Intro to Programming 1 (D),FA21,86.7%,94.3%,7.31,B+ (3.33),B (3.11)
Ochoa Benjamin Lawrence,CSE 8B - Intro to Programming 2 (A),FA21,74.2%,80.9%,8.86,B (3.18),B- (2.79)
Alvarado Christine J.,CSE 95 - Tutor Apprentice (A),FA21,90.9%,100.0%,2.5,A (4.00),
Alvarado Christine J.,CSE 95 - Tutor Apprentice (B),FA21,92.1%,97.4%,2.23,A (4.00),
Tiefenbruck Janine LoBue,DSC 10 - Principles of Data Science (A),FA21,98.3%,98.2%,8.22,B+ (3.59),B+ (3.33)
Tiefenbruck Janine LoBue,DSC 10 - Principles of Data Science (B),FA21,100.0%,100.0%,6.71,B+ (3.48),B (3.29)
Rampure Suraj,DSC 10 - Principles of Data Science (C),FA21,98.9%,100.0%,7.52,B+ (3.54),B (3.27)
Salimi Babak,DSC 100 - Intro to Data Management (A),FA21,87.5%,65.0%,7.25,A- (3.80),A- (3.80)
Fraenkel Aaron Mcmillan,DSC 180A - Data Science Project I (A),FA21,76.9%,100.0%,6.81,A- (3.77),A- (3.98)
Fraenkel Aaron Mcmillan,DSC 180A - Data Science Project I (B),FA21,94.4%,100.0%,7.61,A- (3.72),A- (3.92)
Silberman Jack,DSC 190 - Topics in Data Science (A),FA21,90.9%,80.0%,11.59,A- (3.82),A (4.00)
Hu Zhiting,DSC 190 - Topics in Data Science (B),FA21,100.0%,100.0%,8.9,A- (3.80),
Langlois Marina,DSC 20 - Prgrmng/DataStruc for Data Sci (A),FA21,83.3%,86.1%,10.99,B+ (3.42),B (3.06)
Langlois Marina,DSC 30 - DataStrc/Algrthms for Data Sci (C),FA21,93.8%,87.5%,12.1,B (3.20),B- (2.77)
Liao Soohyun Nam,DSC 30 - DataStrc/Algrthms for Data Sci (D),FA21,70.6%,76.5%,12.83,B (3.06),B- (2.75)
Rampure Suraj,DSC 40A - Theor Fndtns of Data Sci I (A),FA21,96.0%,100.0%,7.33,B+ (3.56),B+ (3.37)
Eldridge Justin Matthew,DSC 40B - Theor Fndtns of Data Sci II (A),FA21,96.2%,100.0%,6.35,B+ (3.68),B+ (3.42)
Wang Yusu,DSC 40B - Theor Fndtns of Data Sci II (B),FA21,100.0%,100.0%,7.7,B+ (3.50),
Eldridge Justin Matthew,DSC 80 - Practice of Data Science (A),FA21,97.7%,100.0%,11.73,B+ (3.64),B+ (3.39)
Langlois Marina,DSC 95 - Tutor Appshp in Data Science (A),FA21,94.4%,100.0%,1.61,A (4.00),
Liao Soohyun Nam,DSC 96 - Workshop in Data Science (A),FA21,70.0%,100.0%,3.23,A (4.00),
Sievenpiper Daniel F.,ECE 100 - Linear Electronic Systems (A),FA21,91.1%,93.3%,9.61,B (3.12),C+ (2.68)
Siegel Paul H.,ECE 101 - Linear Systems Fundamentals (B),FA21,85.6%,96.7%,9.78,B (3.09),B- (2.99)
Hsueh Tzu-Chien,ECE 102 - Intro/Active Circuit Design (A),FA21,97.0%,94.0%,8.65,B (3.00),B (3.17)
Ng Tse Nga,ECE 103 - Fundamntls/Devices & Materials (A),FA21,66.7%,66.7%,7.17,B- (2.83),B (3.24)
Lomakin Vitaliy,ECE 107 - Electromagnetism (A),FA21,66.7%,70.4%,8.35,C+ (2.69),B (3.11)
Zeger Kenneth A.,ECE 109 - Engineering Probability&Stats (A),FA21,72.6%,75.8%,6.47,B- (2.94),C+ (2.64)
Koushanfar Farinaz,ECE 111 - Advanced Digital Design Proj (A),FA21,51.2%,46.3%,8.3,B (3.10),B+ (3.33)
Esmaili Gholamreza,ECE 121A - Power Sys Analysis & Fundmntls (A),FA21,96.0%,88.0%,8.66,B (3.20),B (3.04)
Abi Samra Nicholas Camill,ECE 128A - Real Wrld Pwr Grid Operation (A),FA21,100.0%,100.0%,6.19,B+ (3.58),B+ (3.57)
Kuzum Duygu,ECE 135A - Semiconductor Physics (A),FA21,100.0%,100.0%,4.83,B+ (3.57),B- (2.87)
Unpingco Jose H.,ECE 143 - Programming for Data Analysis (A),FA21,92.6%,97.1%,7.79,A- (3.82),A- (3.90)
Phan Alex Minh Giang,ECE 144 - LabVIEW Programming (A),FA21,91.7%,91.7%,8.24,B+ (3.50),B+ (3.60)
Silberman Jack,ECE 148 - Intro to Autonomous Vehicles (A),FA21,80.0%,60.0%,10.9,A- (3.80),
Schurgers Curt,ECE 15 - Engineering Computation (A),FA21,78.7%,87.6%,9.11,B (3.16),C+ (2.67)
Milstein Laurence B.,ECE 155 - Digital Communications Theory (A),FA21,100.0%,100.0%,6.5,B (3.00),
Franceschetti Massimo,ECE 158A - Data Networks I (A),FA21,83.3%,83.3%,4.83,B (3.25),B (3.23)
Khoshabeh Ramsin,ECE 16 - Rapid Hardware & Software Dsn (A),FA21,84.2%,93.8%,11.34,B+ (3.67),B+ (3.57)
Rao Bhaskar D.,ECE 161A - Intr/Digital Signal Processing (A),FA21,82.8%,82.1%,9.43,B- (2.76),C+ (2.52)
Hall Drew A.,ECE 164 - Analog Integrtd Circuit Design (A),FA21,88.5%,98.0%,13.42,B (3.22),B- (2.87)
Rebeiz Gabriel,ECE 166 - Microwave Systems and Circuits (A),FA21,88.9%,91.7%,11.33,B (3.12),B- (2.85)
Gessner Richard K.,ECE 17 - Object-Oriented Programming (A),FA21,78.9%,78.9%,10.72,B+ (3.35),C+ (2.54)
Atanasov Nikolay A.,ECE 171A - Linear Control System Theory (B),FA21,95.5%,100.0%,8.05,A- (3.71),B+ (3.59)
Shi Yuanyuan,ECE 171B - Linear Control System Theory (A),FA21,96.6%,96.6%,9.05,B+ (3.31),B (3.25)
Pal Piya,ECE 174 - Intro/Linear&Nonlinear Optimiz (A),FA21,81.8%,84.1%,11.01,C+ (2.67),C+ (2.69)
Lomakin Vitaliy,ECE 182 - Electromagnetic Optcs/GW&FbrOp (A),FA21,100.0%,100.0%,7.17,B+ (3.33),
Liu Zhaowei,ECE 187 - Intro/Biomed Imaging & Sensing (A),FA21,100.0%,100.0%,3.0,B+ (3.50),
Liu Zhaowei,ECE 25 - Introduction to Digital Design (A),FA21,83.9%,83.3%,6.44,B (3.13),B (3.06)
Mir Arabbaygi Siavash,ECE 30 - Intro to Computer Engineering (A),FA21,68.3%,73.2%,9.45,C+ (2.59),C+ (2.53)
Schurgers Curt,ECE 35 - Introduction to Analog Design (A),FA21,84.6%,94.3%,10.19,B- (2.75),C+ (2.46)
Schurgers Curt,ECE 35 - Introduction to Analog Design (B),FA21,88.0%,89.0%,10.62,B (3.12),B- (2.72)
Franceschetti Massimo,ECE 45 - Circuits and Systems (A),FA21,75.8%,69.7%,8.32,B (3.22),B- (2.88)
Morris Karcher William,ECE 5 - Intro to ECE (A),FA21,98.6%,100.0%,7.49,A- (3.79),A- (3.73)
Baghdadchi Saharnaz,ECE 65 - Components & Circuits Lab (A),FA21,91.5%,98.3%,8.57,B (3.07),C+ (2.58)
Styler William Francis,LIGN 101 - Introduction/Study of Language (A),FA21,100.0%,100.0%,3.68,B+ (3.68),B+ (3.57)
Garellek Marc,LIGN 110 - Phonetics (A),FA21,95.2%,97.6%,5.36,B+ (3.31),B (3.23)
Drake Emily C,LIGN 142 - Language Typology (A),FA21,92.3%,100.0%,4.19,B+ (3.46),B (3.19)
Lott Margaret S.,LIGN 144 - Discourse Analysis: ASL Poetr (A),FA21,88.9%,100.0%,4.06,B+ (3.50),B+ (3.49)
Kluender Robert,LIGN 154 - Language and Consciousness (A),FA21,100.0%,100.0%,4.7,B (3.20),B- (2.89)
Kehler Andrew Scott,LIGN 160 - Pragmatics (A),FA21,85.7%,92.9%,4.1,B (3.00),B (3.11)
Rose Sharon,LIGN 177 - Multilingualism (A),FA21,100.0%,100.0%,4.28,B+ (3.61),B (3.16)
Goodall Grant Todd,LIGN 5 - Linguistics of Invented Lang (A),FA21,97.1%,100.0%,2.44,B+ (3.58),B- (2.98)
Mayberry Rachel,LIGN 7 - Sign Languages&Their Cultures (A),FA21,88.9%,93.4%,3.02,A- (3.73),B (3.17)
Caballero Gabriela Hernandez,LIGN 8 - Languages & Cultures/America (A),FA21,97.3%,100.0%,4.09,A- (3.79),B+ (3.48)
Bahadori Mohammad Yousef,MAE 101A - Introductory Fluid Mechanics (A),FA21,80.4%,71.7%,8.15,B- (2.93),B- (2.92)
Sarkar Sutanu,MAE 101A - Introductory Fluid Mechanics (B),FA21,100.0%,100.0%,7.3,B (3.00),B- (2.97)
Chen Renkun,MAE 101C - Heat Transfer (A),FA21,91.4%,88.6%,7.01,B (3.09),B (3.04)
Poulikakos Lisa Voula,MAE 101C - Heat Transfer (B),FA21,93.5%,96.8%,5.31,B (3.29),B+ (3.51)
Sanchez Antonio Luis,MAE 104 - Aerodynamics (B),FA21,98.2%,96.4%,7.61,B (3.25),B (3.25)
Bandaru Prabhakar,MAE 105 - Intro to Mathematical Physics (A),FA21,95.1%,100.0%,7.28,B (3.05),B (3.28)
Becker Janet Maria,MAE 105 - Intro to Mathematical Physics (B),FA21,76.2%,85.7%,7.86,B- (2.82),B- (2.82)
Lubarda Marko,MAE 107 - Computational Methods/Engineer (A),FA21,72.7%,89.1%,8.32,B (3.13),B (3.11)
Tolley Michael Thomas,MAE 107 - Computational Methods/Engineer (B),FA21,97.0%,97.0%,7.59,B (3.27),B (3.04)
Nomura Keiko K.,MAE 11 - Thermodynamics (A),FA21,86.9%,86.9%,9.24,B (3.06),B- (2.92)
Saha Abhishek,MAE 11 - Thermodynamics (B),FA21,87.3%,90.9%,8.39,B- (2.84),B (3.08)
Pawlak Geno Ronald,MAE 122 - Flow & Transport/Environment (A),FA21,67.9%,75.0%,8.64,B (3.19),B- (2.98)
Nesterenko Vitali F,MAE 130 - Advanced Vibrations (A),FA21,75.0%,68.8%,6.0,B (3.06),B (3.24)
Ghazinejad Maziar,MAE 131A - Solid Mechanics I (A),FA21,96.9%,98.5%,7.33,B (3.12),B (3.04)
de Oliveira Mauricio,MAE 143A - Signals and Systems (A),FA21,73.5%,78.8%,8.21,B (3.20),B (3.14)
Bewley Thomas R,MAE 144 - Embedded Control & Robotics (A),FA21,71.4%,61.9%,12.12,B- (2.81),B+ (3.33)
Silberman Jack,MAE 148 - Intro to Autonomous Vehicles (A),FA21,60.0%,40.0%,12.9,A- (3.80),
Ghazinejad Maziar,MAE 150 - Computer-Aided Design (A),FA21,96.3%,100.0%,6.62,B+ (3.63),B (3.26)
Gravish Nicholas G,MAE 150 - Computer-Aided Design (B),FA21,93.8%,93.8%,8.0,B (3.07),B- (2.94)
Tynan George Robert,MAE 152 - Intro Manual and CNC Machining (B),FA21,100.0%,100.0%,1.17,A (4.00),
Tynan George Robert,MAE 152 - Intro Manual and CNC Machining (C),FA21,100.0%,100.0%,1.93,,
Tynan George Robert,MAE 152 - Intro Manual and CNC Machining (D),FA21,100.0%,100.0%,1.5,A (4.00),
Tynan George Robert,MAE 152 - Intro Manual and CNC Machining (E),FA21,100.0%,100.0%,1.07,A (4.00),
Delson Nathan Joseph,MAE 156A - Fund. Prin./Mechanical Desgn I (A),FA21,76.2%,76.2%,13.26,B+ (3.35),B+ (3.39)
Lal Ratnesh,MAE 170 - Experimental Techniques (A),FA21,84.3%,87.1%,8.81,B+ (3.51),A- (3.74)
Rosengren Aaron,MAE 180A - Spacecraft Guidance I (A),FA21,76.7%,62.8%,7.45,B- (2.89),B- (2.85)
Schmidt Oliver,MAE 190 - Topics in Mech and Aero Eng (B),FA21,100.0%,100.0%,7.38,A- (3.81),B+ (3.57)
Bahadori Mohammad Yousef,MAE 2 - Intro to Aerospace Engineering (A),FA21,95.7%,87.0%,6.07,B (3.20),B+ (3.32)
Qi Huihui,MAE 2 - Intro to Aerospace Engineering (B),FA21,97.6%,97.6%,5.34,B+ (3.43),B- (2.99)
Graeve Olivia A,MAE 20 - Elements of Materials Science (B),FA21,72.1%,79.7%,6.86,B+ (3.49),B+ (3.45)
Cai Shengqiang,MAE 21 - Aerospace Materials Science (A),FA21,100.0%,91.8%,4.21,A- (3.81),A- (3.71)
Morimoto Tania,MAE 3 - Intro/Engineering Graphcs&Desn (A),FA21,85.2%,94.3%,13.48,B+ (3.41),B (3.21)
Qi Huihui,MAE 3 - Intro/Engineering Graphcs&Desn (A),FA21,85.2%,92.6%,13.48,B+ (3.41),B (3.21)
Delson Nathan Joseph,MAE 30A - Statics & Intro to Dynamics (A),FA21,90.5%,75.0%,7.0,B+ (3.55),B- (2.82)
Bitmead Robert R.,MAE 40 - Linear Circuits (A),FA21,72.7%,50.9%,7.95,B- (2.75),B- (2.92)
Pham Hieu Tan,MAE 8 - MATLAB Program for Engr Analys (A),FA21,92.0%,93.2%,7.4,B+ (3.47),B (3.04)
Delson Nathan Joseph,MAE 87 - Freshman Seminar (A),FA21,100.0%,92.9%,1.64,A (4.00),
Ferreira Victor,PSYC 1 - Psychology (A),FA21,96.3%,98.3%,3.51,B (3.26),B (3.25)
Dickenson Janna Alene,PSYC 100 - Clinical Psychology (A),FA21,98.0%,98.8%,5.04,A- (3.76),B+ (3.64)
Heyman Gail D.,PSYC 101 - Developmental Psychology (A),FA21,89.7%,85.3%,5.85,B+ (3.47),B+ (3.39)
Serences John Thomas,PSYC 102 - Sensory Neuroscience (A),FA21,91.7%,94.7%,4.64,B+ (3.54),B+ (3.53)
Belding Jennifer,PSYC 104 - Social Psychology (A),FA21,96.8%,97.4%,6.67,B+ (3.66),B+ (3.60)
Geller Emma Harlan,PSYC 105 - Cognitive Psychology (A),FA21,96.6%,97.0%,5.96,B+ (3.55),B (3.29)
Lang Ariel,PSYC 116A - Lab/Clinical Psych Research I (A),FA21,92.9%,92.9%,5.21,B+ (3.54),A- (3.90)
Miller Cory T.,PSYC 122 - Mechanisms of Animal Behavior (A),FA21,90.2%,88.7%,5.13,B+ (3.35),B+ (3.42)
Chapman Eddie Nathaniel,PSYC 124 - Clinical Assessment/Treatment (A),FA21,97.8%,98.9%,4.68,A- (3.82),A- (3.88)
Rose Fred E.,PSYC 125 - Clinical Neuropsychology (A),FA21,98.1%,98.1%,4.16,B+ (3.58),B+ (3.47)
Steiner Eric Tomas,PSYC 132 - Hormones and Behavior (A),FA21,89.7%,96.8%,5.44,B (3.20),B- (2.93)
Golden Susan S.,PSYC 133 - Circadian Rhythms-Bio Clocks (A),FA21,78.6%,66.7%,8.36,B+ (3.38),C+ (2.64)
Gorman Michael R.,PSYC 133 - Circadian Rhythms-Bio Clocks (A),FA21,78.6%,77.8%,8.36,B+ (3.38),C+ (2.64)
Kaye Walter H.,PSYC 134 - Eating Disorders (A),FA21,86.0%,76.3%,4.16,B+ (3.40),B (3.06)
Willis Jarryd Thomas,PSYC 155 - Social Psychology and Medicine (A),FA21,96.0%,93.7%,4.41,A- (3.81),A- (3.87)
Wixted John T,PSYC 162 - Psychology and the Law (A),FA21,94.8%,94.7%,4.63,B (3.24),C+ (2.58)
Chapman Eddie Nathaniel,PSYC 168 - Psychological Disorders/Child (A),FA21,99.1%,99.1%,5.3,A- (3.75),A- (3.87)
Mukku Dhananjaya,PSYC 171 - Neurobiology-Learning & Memory (A),FA21,77.9%,81.1%,5.49,B+ (3.43),B+ (3.56)
Glaser Dale,PSYC 178 - Industrial Organizational Psyc (A),FA21,81.1%,86.8%,4.08,B+ (3.38),B (3.19)
Lacefield Katharine I,PSYC 179 - DrugsAddiction&Mental Disordr (A),FA21,97.1%,97.5%,4.25,A- (3.75),A- (3.72)
Hanes Esther,PSYC 180 - Adolescence (A),FA21,98.4%,99.2%,4.18,A- (3.83),A- (3.76)
Anagnostaras Stephan,PSYC 181 - Drugs And Behavior (A),FA21,92.6%,94.2%,4.51,B+ (3.61),B+ (3.46)
Gremel Christina M,PSYC 193 - Topics in Psychology (A),FA21,80.0%,80.0%,3.5,A (4.00),
Dickenson Janna Alene,PSYC 193 - Topics in Psychology (B),FA21,100.0%,100.0%,7.42,A- (3.77),
Hanes Esther,PSYC 193 - Topics in Psychology (C),FA21,86.4%,90.9%,4.41,B+ (3.57),B+ (3.52)
Powell Lindsey Jane,PSYC 193 - Topics in Psychology (D),FA21,100.0%,100.0%,4.14,A- (3.73),B+ (3.54)
Agrawal Tanushree,PSYC 193 - Topics in Psychology (F),FA21,87.8%,100.0%,3.57,B+ (3.68),B+ (3.51)
Lacefield Katharine I,PSYC 193L - Psychology Laboratory Topics (A),FA21,100.0%,100.0%,5.7,A- (3.80),A- (3.88)
Lowe Angela Beth,PSYC 193L - Psychology Laboratory Topics (B),FA21,100.0%,100.0%,6.5,A- (3.70),B+ (3.54)
Heyman Gail D.,PSYC 194A - Honors Thesis I (A),FA21,100.0%,100.0%,6.06,A- (3.89),A- (3.97)
Van Alstyne Kaitlin Rhianna,PSYC 2 - Gen Psych:Biological Foundatns (A),FA21,98.1%,97.5%,3.69,B+ (3.70),B+ (3.51)
Pilegard Celeste Cristine,PSYC 3 - Gen Psych:Cognitive Foundatns (A),FA21,98.2%,99.1%,4.23,B+ (3.48),B (3.12)
McCullough Michael E,PSYC 6 - General Psychology: Social (A),FA21,85.4%,90.2%,3.88,B (3.18),B (3.08)
Rickard Timothy C.,PSYC 60 - Introduction to Statistics (A),FA21,88.8%,84.6%,4.55,B+ (3.31),B- (2.89)
Lowe Angela Beth,PSYC 60 - Introduction to Statistics (B),FA21,92.0%,96.0%,5.22,B (3.11),B- (2.73)
Pilegard Celeste Cristine,PSYC 70 - Research Methods in Psychology (A),FA21,91.3%,98.4%,5.2,B+ (3.43),B (3.00)
Geller Emma Harlan,PSYC 71 - Lab/Psych Research Methods (A),FA21,95.0%,100.0%,6.1,B (3.25),B (3.05)
Willis Jarryd Thomas,PSYC 71 - Lab/Psych Research Methods (B),FA21,64.7%,58.8%,6.97,B+ (3.35),B+ (3.49)
Lau Sin Hang,PSYC 71 - Lab/Psych Research Methods (C),FA21,66.7%,82.1%,5.27,B (3.28),B (3.09)
Dobkins Karen R.,PSYC 88 - Learning Sustainable Wellbeing (A),FA21,100.0%,100.0%,1.27,A (4.00),
Dickenson Janna Alene,PSYC 88 - Learning Sustainable Wellbeing (B),FA21,100.0%,100.0%,1.09,A (4.00),
Baghdadchi Saharnaz,ECE 100 - Linear Electronic Systems (A),S321,96.3%,100.0%,10.87,B (3.15),B- (2.76)
Karna Vishal,ECE 111 - Advanced Digital Design Proj (A),S321,92.9%,100.0%,9.07,B+ (3.64),B+ (3.53)
Cao Yingjun,CSE 100 - Advanced Data Structures (A),S221,94.7%,84.2%,14.82,B (3.26),B- (2.79)
Braun Oliver,CSE 101 - Design & Analysis of Algorithm (A),S221,100.0%,91.7%,11.54,B (3.29),B (3.01)
Miranda Gregory Joseph,CSE 11 - Accel. Intro to Programming (A),S221,100.0%,94.4%,7.87,A- (3.95),B+ (3.56)
Powell Thomas Allan,CSE 135 - Online Database Analytics Appl (A),S221,69.2%,61.5%,16.17,B+ (3.45),C+ (2.54)
Eldon John,CSE 141 - Intro/Computer Architecture (A),S221,90.9%,100.0%,8.79,B+ (3.45),B (3.18)
Eldon John,CSE 141L - Project/Computer Architecture (A),S221,95.0%,100.0%,10.61,A- (3.74),B+ (3.31)
Kumar Rakesh,CSE 175 - Entrepreneurship for Engineers (A),S221,100.0%,100.0%,6.72,B+ (3.44),
Dubnov Shlomo,CSE 190 - Topics/Computer Sci & Engineer (A),S221,33.3%,100.0%,15.17,C+ (2.33),B- (2.95)
Knoth Tristan Joseph,CSE 20 - Discrete Mathematics (A),S221,75.0%,100.0%,9.0,A- (3.75),
Braun Oliver,CSE 21 - Math/Algorithm&Systems Analys (A),S221,83.3%,88.1%,8.12,B+ (3.36),B (3.09)
Cao Yingjun,CSE 30 - Computer Organiz&Systms Progrm (A),S221,100.0%,100.0%,11.11,B+ (3.52),C+ (2.69)
Miranda Gregory Joseph,CSE 8A - Intro to Programming 1 (A),S221,100.0%,100.0%,7.17,A (4.00),B+ (3.51)
Fraenkel Aaron Mcmillan,DSC 30 - DataStrc/Algrthms for Data Sci (A),S221,16.7%,66.7%,18.83,B+ (3.67),B- (2.79)
Baghdadchi Saharnaz,ECE 101 - Linear Systems Fundamentals (A),S221,97.7%,100.0%,9.14,B+ (3.32),B (3.03)
Arya Shaurya,ECE 107 - Electromagnetism (A),S221,37.5%,25.0%,13.88,C+ (2.63),B- (2.78)
Silberman Jack,ECE 148 - Intro to Autonomous Vehicles (A),S221,100.0%,80.0%,14.9,B+ (3.60),
Abi Samra Nicholas Camill,ECE 180 - Topics in ECE (A),S221,100.0%,100.0%,5.83,A- (3.87),B+ (3.67)
Abi Samra Nicholas Camill,ECE 180 - Topics in ECE (B),S221,100.0%,100.0%,10.17,B+ (3.67),
Shevchenko Valentin I,ECE 45 - Circuits and Systems (A),S221,75.0%,75.0%,14.5,B- (2.75),C+ (2.62)
Morris Karcher William,ECE 5 - Intro to ECE (A),S221,100.0%,100.0%,8.5,A- (3.73),
Wampler Joshua William,LIGN 130 - Semantics (A),S221,100.0%,91.7%,6.5,B+ (3.42),B (3.22)
Bahadori Mohammad Yousef,MAE 101B - Advanced Fluid Mechanics (A),S221,87.0%,78.3%,9.72,C+ (2.65),C+ (2.39)
Pasetto Marco,MAE 107 - Computational Methods/Engineer (A),S221,80.6%,91.7%,10.44,B+ (3.33),B+ (3.46)
Silberman Jack,MAE 148 - Intro to Autonomous Vehicles (A),S221,100.0%,100.0%,18.1,A- (3.80),
Evdokimenko Ekaterina,MAE 20 - Elements of Materials Science (A),S221,100.0%,100.0%,8.5,B+ (3.60),B+ (3.33)
Bahadori Mohammad Yousef,MAE 30B - Dynamics and Vibrations (A),S221,100.0%,69.2%,7.88,B- (2.85),B- (2.76)
Bewley Thomas R,MAE 40 - Linear Circuits (A),S221,57.1%,0.0%,11.07,C+ (2.43),
Phan Alex Minh Giang,MAE 8 - MATLAB Program for Engr Analys (A),S221,98.2%,96.5%,9.13,B+ (3.54),B+ (3.54)
Ferreira Victor,PSYC 1 - Psychology (A),S221,97.3%,98.6%,3.85,B+ (3.35),B (3.21)
Ferreira Victor,PSYC 1 - Psychology (B),S221,100.0%,100.0%,3.34,B (3.17),B (3.21)
Chapman Eddie Nathaniel,PSYC 100 - Clinical Psychology (A),S221,96.0%,91.7%,7.5,B+ (3.65),A- (3.83)
Kim Min Ju,PSYC 101 - Developmental Psychology (A),S221,100.0%,100.0%,4.23,A- (3.84),A- (3.70)
