Instructor,Course,Quarter,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received
Porter Leonard Emerson,CSE 30 - Computer Organiz&Systms Progrm (A),SP23,73.5%,64.9%,12.17,B (3.16),B- (2.78)
Porter Leonard Emerson,CSE 30 - Computer Organiz&Systms Progrm (B),SP23,79.0%,79.6%,11.6,B (3.22),B- (2.86)
Chin Bryan W.,CSE 30 - Computer Organiz&Systms Progrm (C),SP23,84.6%,87.2%,11.34,B (3.23),C+ (2.48)
Moshiri Alexander Niema,CSE 6R - Intr/CompSci&Obj-Ori:Python (A),SP23,89.0%,97.8%,6.06,B (3.25),B (3.03)
Cottrell Garrison W,CSE 87 - First-year Seminar (A),SP23,100.0%,100.0%,0.5,A (4.00),
Moshiri Alexander Niema,CSE 87 - First-year Seminar (B),SP23,100.0%,100.0%,0.79,,
Elsherif May Elhussein,CSE 8A - Intro to Programming 1 (A),SP23,80.5%,80.5%,6.22,B+ (3.49),B- (2.93)
Cao Yingjun,CSE 95 - Tutor Apprentice (A),SP23,100.0%,100.0%,1.5,A (4.00),
Rampure Suraj,DSC 10 - Principles of Data Science (A),SP23,97.8%,98.9%,8.32,B+ (3.55),B (3.21)
Rampure Suraj,DSC 10 - Principles of Data Science (B),SP23,82.3%,96.2%,8.78,B+ (3.42),B (3.14)
Salimi Babak,DSC 100 - Intro to Data Management (A),SP23,87.7%,80.0%,5.33,A- (3.86),A- (3.77)
Albuyeh Rod,DSC 102 - Systems for Scalable Analytics (A),SP23,93.5%,92.2%,6.74,A- (3.73),B+ (3.53)
Gupta Amarnath,DSC 104 - Beyond Relational Data Mgmt (A),SP23,100.0%,80.0%,6.1,A (4.00),
Liao Soohyun Nam,DSC 106 - Intro to Data Visualization (A),SP23,71.7%,68.9%,8.09,A- (3.75),A- (3.85)
Wilber Jared Dane,DSC 106 - Intro to Data Visualization (B),SP23,86.2%,96.3%,8.57,B+ (3.67),A (4.00)
Ustun Tevfik Berk,DSC 140A - Probabilistic Modeling and ML (A),SP23,57.9%,52.6%,8.85,B (3.12),B (3.20)
Eldridge Justin Matthew,DSC 140B - Representation Learning (A),SP23,91.3%,95.7%,5.8,B+ (3.39),B+ (3.38)
Hu Zhiting,DSC 140B - Representation Learning (B),SP23,100.0%,50.0%,6.37,B+ (3.63),B+ (3.43)
Silberman Jack,DSC 178 - IntroRobotPerceptionNavigation (A),SP23,66.7%,83.3%,8.83,A (4.00),
Smarr Benjamin,DSC 190 - Topics in Data Science (B),SP23,100.0%,100.0%,4.5,B+ (3.67),
Langlois Marina,DSC 20 - Prgrmng/DataStruc for Data Sci (A),SP23,98.1%,96.3%,8.72,B+ (3.47),B- (2.86)
Langlois Marina,DSC 30 - DataStrc/Algrthms for Data Sci (A),SP23,81.3%,87.5%,13.36,B (3.00),C+ (2.54)
Langlois Marina,DSC 30 - DataStrc/Algrthms for Data Sci (B),SP23,86.7%,93.3%,11.37,B+ (3.47),B (3.11)
Liao Soohyun Nam,DSC 30 - DataStrc/Algrthms for Data Sci (C),SP23,90.5%,85.7%,10.31,B+ (3.33),B (3.08)
Wang Yusu,DSC 40B - Theor Fndtns of Data Sci II (A),SP23,100.0%,96.7%,5.7,B+ (3.65),B+ (3.32)
Rahman Tauhidur,DSC 80 - Practice of Data Science (A),SP23,90.6%,70.5%,11.69,B+ (3.39),B+ (3.36)
Rampure Suraj,DSC 95 - Tutor Appshp in Data Science (A),SP23,100.0%,93.3%,2.79,A (4.00),
Hall Drew A.,ECE 100 - Linear Electronic Systems (A),SP23,90.5%,93.7%,10.02,B- (2.90),B- (2.79)
Bharadia Dinesh,ECE 101 - Linear Systems Fundamentals (A),SP23,87.1%,90.0%,7.98,B (3.00),B (3.22)
Kuzum Duygu,ECE 103 - Fundamntls/Devices & Materials (A),SP23,84.4%,97.8%,8.19,B (3.07),B (3.22)
Fullerton Eric E,ECE 107 - Electromagnetism (A),SP23,82.4%,100.0%,10.15,B- (2.94),B- (2.75)
Orlitsky Alon,ECE 109 - Engineering Probability&Stats (A),SP23,60.0%,55.4%,7.12,B- (2.72),B (3.01)
Yip Michael,ECE 115 - Fast Prototyping (A),SP23,88.9%,77.8%,14.5,B+ (3.56),
Sievenpiper Daniel F.,ECE 123 - Antenna Systems Engineering (A),SP23,92.3%,92.3%,6.64,B+ (3.36),B- (2.76)
Esmaili Gholamreza,ECE 125B - Intro to Power Electronics II (A),SP23,62.5%,87.5%,12.0,B (3.00),B+ (3.45)
Dayeh Shadi Ahmad,ECE 136L - Microelectronics Laboratory (A),SP23,75.0%,75.0%,11.5,B (3.25),
Gessner Richard K.,ECE 140B - The Art of Product Eng II (A),SP23,84.6%,92.3%,12.64,B+ (3.36),B- (2.78)
Khoshabeh Ramsin,ECE 140B - The Art of Product Eng II (A),SP23,84.6%,100.0%,12.64,B+ (3.36),B- (2.78)
Gessner Richard K.,ECE 141B - Software Foundations II (A),SP23,100.0%,100.0%,13.5,B+ (3.50),
Silberman Jack,ECE 148 - Intro to Autonomous Vehicles (A),SP23,80.0%,100.0%,13.3,A- (3.80),A- (3.95)
Gilja Vikash,ECE 15 - Engineering Computation (A),SP23,84.8%,93.9%,8.21,C+ (2.58),C (2.26)
Sworder David D.,ECE 153 - Probability&Random Process/Eng (A),SP23,63.6%,36.4%,8.32,B- (2.91),B (3.23)
Wang Edward Jay,ECE 16 - Rapid Hardware & Software Dsn (A),SP23,85.2%,88.9%,9.09,B+ (3.37),B+ (3.43)
Harris Frederick Joel,ECE 161C - Apps of Digital Signal Process (A),SP23,90.9%,81.8%,7.05,B (3.25),B+ (3.63)
Hsueh Tzu-Chien,ECE 163 - Electronic Circuits & Systems (A),SP23,95.2%,100.0%,7.87,B+ (3.40),B+ (3.41)
Mercier Patrick Philip,ECE 165 - Digtl Integrated Circuit Desgn (A),SP23,97.7%,97.7%,9.88,B+ (3.41),B (3.23)
Zheng Yang,ECE 171A - Linear Control System Theory (A),SP23,98.1%,100.0%,10.84,B+ (3.31),B+ (3.35)
